Gene	MOI
ABCC6	AR
ABCC8	AR
ABCD4	AR
ACAD9	AR
ACADM	AR
ACADVL	AR
ACAT1	AR
ACVRL1	AD
ADA	AR
ADA2	AR
ADAMTS13	AR
AGL	AR
AGRN	AR
AHCY	AR
AK2	AR
ALDH7A1	AR
ALDOB	AR
ALG14	AR
ALPL	AR
AMN	AR
AQP2	AR
ARG1	AR
ARPC1B	AR
ARSA	AR
ARSB	AR
ASL	AR
ASS1	AR
ATP6V0A4	AR
ATP6V1B1	AR
ATP7A	XR
AVPR2	XR
BCKDK	AR
BLNK	AR
BRCA2	AR
BRIP1	AR
BTD	AR
BTK	XR
C3	AR
C5	AR
C6	AR
C7	AR
C8a	AR
C8b	AR
C9	AR
CA5A	AR
CACNA1C	AD
CACNA1D	AD
CAD	AR
CASR	AD
CBLIF	AR
CBS	AR
CD3D	AR
CD3E	AR
CD79A	AR
CD79B	AR
CFB	AR
CFD	AR
CFP	XR
CFTR	AR
CHAT	AR
CHRNA1	AR
CHRNB1	AR
CHRND	AR
CHRNE	AR
CLCN7	AD
COL13A1	AR
COLQ	AR
COQ2	AR
COQ4	AR
COQ6	AR
COQ7	AR
COQ8A	AR
COQ8B	AR
COQ9	AR
CPOX	AR
CPS1	AR
CPT1A	AR
CSF3R	AR
CTNS	AR
CTPS1	AR
CUBN	AR
CXCR4	AD
CYBA	AR
CYBB	XR
CYBC1	AR
CYP11A1	AR
CYP11B1	AR
CYP11B2	AR
CYP17A1	AR
CYP21A2	AR
CYP27A1	AR
DBT	AR
DCLRE1C	AR
DDC	AR
DGAT1	AR
DKC1	XR
DLD	AR
DMD	XR
DOCK8	AR
DOK7	AR
DPAGT1	AR
DSP	AD
EFL1	AR
EIF2AK3	AR
ELANE	AD
ERCC4	AR
ETFA	AR
ETFB	AR
ETFDH	AR
ETHE1	AR
F13A1	AR
F13B	AR
F2	AR
F8	XR
F9	XR
FAH	AR
FANCA	AR
FANCB	XR
FANCC	AR
FANCD2	AR
FANCE	AR
FANCF	AR
FANCG	AR
FANCI	AR
FANCL	AR
FAS	AD
FBP1	AR
FERMT3	AR
FGA	AR
FGB	AR
FGG	AD
FLAD1	AR
FOLR1	AR
FOXA2	AD
FOXN1	AD
FOXP3	XR
G6PC1	AR
G6PC3	AR
G6PD	XR
GAA	AR
GALE	AR
GALK1	AR
GALNS	AR
GALT	AR
GAMT	AR
GATA1	XR
GBA1	AR
GCDH	AR
GCH1	AD
GCK	AD
GFPT1	AR
GLA	XD
GLIS3	AR
GLRA1	AR
GLRB	AR
GLUD1	AD
GOT2	AR
GUSB	AR
HADH	AR
HADHA	AR
HADHB	AR
HAX1	AR
HBA1	AR
HBA2	AR
HBB	AR
HCFC1	XR
HESX1	AR
HK1	AR
HLCS	AR
HMGCL	AR
HNF1A	AD
HNF4A	AD
HPD	AR
HSD3B2	AR
IDS	XR
IDUA	AR
IGHM	AR
IGLL1	AR
IL10RA	AR
IL10RB	AR
IL2RB	AR
